0.97859512949832	fpr	tpr
0	0.0	0.6699783887387305
1	0.0007331378299120235	0.6883607416799069
2	0.0007407407407407407	0.7010274083465736
3	0.0007434944237918215	0.7468338599594768
4	0.001466275659824047	0.7497750364300652
5	0.001486988847583643	0.7723556815913554
6	0.0021994134897360706	0.778973328650179
7	0.0022222222222222222	0.7816399953168456
8	0.0022304832713754648	0.7822851566071681
9	0.002932551319648094	0.7830204507248152
10	0.002962962962962963	0.7856871173914819
11	0.002987303958177745	0.7869293534163266
12	0.0036656891495601175	0.7883999416516208
13	0.003703703703703704	0.7890666083182875
14	0.0037174721189591076	0.7993891889634488
15	0.0044609665427509295	0.8032601567053842
16	0.005131964809384164	0.8062013331759725
17	0.005185185185185185	0.8108679998426392
18	0.0052044609665427505	0.8115131611329616
19	0.005865102639296188	0.8129837493682558
20	0.005947955390334572	0.814274071948901
21	0.00597460791635549	0.8148951899613234
22	0.007407407407407408	0.8155618566279902
23	0.008064516129032258	0.8170324448632842
24	0.008148148148148147	0.8176991115299508
25	0.008797653958944282	0.8184344056475978
26	0.008921933085501859	0.8190795669379204
27	0.009530791788856305	0.8198148610555676
28	0.010408921933085501	0.82046002234589
29	0.011111111111111112	0.8211266890125568
30	0.011152416356877323	0.8217718503028794
31	0.011851851851851851	0.8257718503028793
32	0.014814814814814815	0.8271051836362127
33	0.01486988847583643	0.8277503449265353
34	0.016296296296296295	0.8304170115932019
35	0.016430171769977596	0.8316592476180465
36	0.017037037037037038	0.8363259142847133
37	0.018518518518518517	0.8376592476180467
38	0.018670649738610903	0.8382803656304689
39	0.02074074074074074	0.8402803656304689
40	0.02148148148148148	0.8436136989638022
41	0.022222222222222223	0.844280365630469
42	0.022404779686333084	0.8455226016553137
43	0.022962962962962963	0.8461892683219803
44	0.02315160567587752	0.8468103863344026
45	0.023703703703703703	0.8474770530010695
46	0.024444444444444446	0.8488103863344028
47	0.025185185185185185	0.8501437196677359
48	0.025925925925925925	0.8521437196677362
49	0.027407407407407408	0.8528103863344028
50	0.028148148148148148	0.8534770530010694
51	0.028888888888888888	0.8561437196677361
52	0.03037037037037037	0.8568103863344027
53	0.03111111111111111	0.8574770530010694
54	0.03185185185185185	0.858143719667736
55	0.03211351755041075	0.8593859556925809
56	0.032991202346041054	0.8601212498102278
57	0.034074074074074076	0.8627879164768946
58	0.035555555555555556	0.8634545831435612
59	0.037341299477221805	0.8640757011559834
60	0.03777777777777778	0.8660757011559836
61	0.04	0.8674090344893168
62	0.040740740740740744	0.8680757011559835
63	0.041075429424943986	0.8686968191684059
64	0.044444444444444446	0.8693634858350725
65	0.04480955937266617	0.8712268398723395
66	0.04518518518518518	0.8718935065390063
67	0.045925925925925926	0.8725601732056729
68	0.04705003734129948	0.8731812912180953
69	0.04888888888888889	0.873847957884762
