idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
180	0.4222857	0.40133333	0.416	0.36685714	0.37466666	0.3692	[1.0, 0.375, 0.0, 0.9858757, 1.0, 0.0, 0.31920904, 0.0, 0.0, 0.0]	[1.0, 0.40243903, 0.0, 0.98630136, 1.0, 0.0, 0.32876712, 0.0, 0.0, 0.0]	[1.0, 0.384, 0.0, 0.986, 1.0, 0.0, 0.322, 0.0, 0.0, 0.0]	3.9143488e-05	2.2207736e-05
190	0.454	0.442	0.4504	0.41428572	0.42133334	0.4164	[1.0, 0.7529762, 0.0, 0.99435025, 1.0, 0.0, 0.42090395, 0.0, 0.0, 0.0]	[1.0, 0.74390244, 0.0, 1.0, 1.0, 0.0, 0.41095892, 0.0, 0.0, 0.0]	[1.0, 0.75, 0.0, 0.996, 1.0, 0.0, 0.418, 0.0, 0.0, 0.0]	2.5249901e-05	2.6158174e-05
200	0.422	0.4	0.4154	0.364	0.364	0.364	[1.0, 0.51488096, 0.0, 0.86440676, 1.0, 0.0, 0.27966103, 0.0, 0.0, 0.0]	[1.0, 0.47560975, 0.0, 0.8150685, 1.0, 0.0, 0.30821916, 0.0, 0.0, 0.0]	[1.0, 0.502, 0.0, 0.85, 1.0, 0.0, 0.288, 0.0, 0.0, 0.0]	4.3467153e-05	1.453131e-05
210	0.4577143	0.45066667	0.4556	0.42885715	0.44333333	0.4332	[1.0, 0.9345238, 0.0, 0.99717516, 1.0, 0.0, 0.3898305, 0.0, 0.0, 0.0]	[1.0, 0.93292683, 0.0, 1.0, 1.0, 0.0, 0.42465752, 0.0, 0.0, 0.0]	[1.0, 0.934, 0.0, 0.998, 1.0, 0.0, 0.4, 0.0, 0.0, 0.0]	7.263932e-05	5.7101715e-06
220	0.45885715	0.45133334	0.4566	0.4457143	0.45266667	0.4478	[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.4915254, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.44520548, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.478, 0.0, 0.0, 0.0]	0.00017102971	4.128646e-05
230	0.46742857	0.462	0.4658	0.45	0.462	0.4536	[1.0, 0.99404764, 0.0, 0.99435025, 1.0, 0.0, 0.5451977, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.5410959, 0.0, 0.0, 0.0]	[1.0, 0.996, 0.0, 0.996, 1.0, 0.0, 0.544, 0.0, 0.0, 0.0]	0.00017418806	4.745333e-05
240	0.48171428	0.47933334	0.481	0.46942857	0.474	0.4708	[1.0, 1.0, 0.0, 1.0, 0.98285717, 0.0, 0.74293786, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.0, 1.0, 0.96666664, 0.0, 0.69863015, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.0, 1.0, 0.978, 0.0, 0.73, 0.0, 0.0, 0.0]	0.0001997354	7.350778e-05
250	0.47342858	0.46333334	0.4704	0.44285715	0.45533332	0.4466	[1.0, 1.0, 0.0, 0.9915254, 1.0, 0.0, 0.47175142, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.0, 0.9931507, 1.0, 0.0, 0.47945204, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.0, 0.992, 1.0, 0.0, 0.474, 0.0, 0.0, 0.0]	0.00027174922	4.7403737e-05
260	0.52342856	0.514	0.5206	0.4774286	0.48266667	0.479	[1.0, 0.9910714, 0.0057142857, 1.0, 1.0, 0.0, 0.8079096, 0.0, 0.0, 0.0]	[1.0, 0.9878049, 0.006666667, 1.0, 1.0, 0.0, 0.760274, 0.0, 0.0, 0.0]	[1.0, 0.99, 0.006, 1.0, 1.0, 0.0, 0.794, 0.0, 0.0, 0.0]	0.00033013057	7.9337275e-05
270	0.48314285	0.48	0.4822	0.46771428	0.472	0.469	[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.70903957, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.6438356, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.69, 0.0, 0.0, 0.0]	0.00042916322	9.9391094e-05
280	0.5145714	0.50333333	0.5112	0.46742857	0.47466666	0.4696	[1.0, 1.0, 0.0028571428, 1.0, 1.0, 0.0, 0.7033898, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.006666667, 1.0, 1.0, 0.0, 0.6643836, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.004, 1.0, 1.0, 0.0, 0.692, 0.0, 0.0, 0.0]	0.0005404828	5.9763785e-05
290	0.5534286	0.5413333	0.5498	0.48514286	0.49066666	0.4868	[1.0, 1.0, 0.028571429, 1.0, 1.0, 0.0, 0.85310733, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.046666667, 1.0, 1.0, 0.0, 0.7876712, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.034, 1.0, 1.0, 0.0, 0.834, 0.0, 0.0, 0.0]	0.0006341422	6.765744e-05
300	0.5557143	0.5453333	0.5526	0.484	0.49133334	0.4862	[1.0, 1.0, 0.05142857, 1.0, 1.0, 0.0, 0.81920904, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.046666667, 1.0, 1.0, 0.0, 0.79452056, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.05, 1.0, 1.0, 0.0, 0.812, 0.0, 0.0, 0.0]	0.000781707	5.1092473e-05
310	0.58514285	0.59	0.5866	0.5262857	0.534	0.5286	[1.0, 1.0, 0.42571428, 1.0, 1.0, 0.0, 0.8587571, 0.0, 0.0088495575, 0.0]	[1.0, 1.0, 0.44666666, 1.0, 1.0, 0.0, 0.82191783, 0.0, 0.0, 0.0]	[1.0, 1.0, 0.432, 1.0, 1.0, 0.0, 0.848, 0.0, 0.006, 0.0]	0.00084553054	3.404438e-05
320	0.5814286	0.58533335	0.5826	0.5245714	0.52666664	0.5252	[1.0, 1.0, 0.36285713, 1.0, 1.0, 0.0, 0.8757062, 0.0, 0.038348082, 0.0]	[1.0, 1.0, 0.35333332, 1.0, 1.0, 0.0, 0.8082192, 0.0, 0.031055901, 0.0]	[1.0, 1.0, 0.36, 1.0, 1.0, 0.0, 0.856, 0.0, 0.036, 0.0]	0.00092970766	3.0313618e-05
330	0.5742857	0.57733333	0.5752	0.5057143	0.5086667	0.5066	[1.0, 1.0, 0.22, 1.0, 1.0, 0.0, 0.8305085, 0.0, 0.038348082, 0.0]	[1.0, 1.0, 0.21333334, 1.0, 1.0, 0.0, 0.77397263, 0.0, 0.024844721, 0.0]	[1.0, 1.0, 0.218, 1.0, 1.0, 0.0, 0.814, 0.0, 0.034, 0.0]	0.0010913862	7.6206634e-06
340	0.602	0.60866666	0.604	0.56142855	0.564	0.5622	[1.0, 1.0, 0.61142856, 1.0, 1.0, 0.005524862, 0.92655367, 0.0, 0.10324484, 0.0]	[1.0, 1.0, 0.54, 1.0, 1.0, 0.007246377, 0.9109589, 0.0, 0.10559006, 0.0]	[1.0, 1.0, 0.59, 1.0, 1.0, 0.006, 0.922, 0.0, 0.104, 0.0]	0.0011742427	3.470527e-05
350	0.6082857	0.61	0.6088	0.55	0.556	0.5518	[1.0, 1.0, 0.48285714, 1.0, 1.0, 0.011049724, 0.9491525, 0.0028985508, 0.053097345, 0.03021978]	[1.0, 1.0, 0.48, 1.0, 1.0, 0.007246377, 0.9315069, 0.012903226, 0.024844721, 0.036764707]	[1.0, 1.0, 0.482, 1.0, 1.0, 0.01, 0.944, 0.006, 0.044, 0.032]	0.0013629012	4.1797175e-05
360	0.6502857	0.648	0.6496	0.62942857	0.634	0.6308	[1.0, 1.0, 0.6142857, 1.0, 1.0, 0.0718232, 0.92655367, 0.43188405, 0.28318584, 0.008241759]	[1.0, 1.0, 0.58, 1.0, 1.0, 0.08695652, 0.91780823, 0.37419355, 0.2857143, 0.0]	[1.0, 1.0, 0.604, 1.0, 1.0, 0.076, 0.924, 0.414, 0.284, 0.006]	0.0014960077	7.745053e-05
370	0.63857144	0.6446667	0.6404	0.614	0.6246667	0.6172	[1.0, 1.0, 0.7828571, 1.0, 1.0, 0.027624309, 0.9548023, 0.0, 0.40707964, 0.008241759]	[1.0, 1.0, 0.75333333, 1.0, 1.0, 0.036231883, 0.94520545, 0.0, 0.4099379, 0.007352941]	[1.0, 1.0, 0.774, 1.0, 1.0, 0.03, 0.952, 0.0, 0.408, 0.008]	0.0015231874	0.000106374384
380	0.64257145	0.63733333	0.641	0.5814286	0.5966667	0.586	[1.0, 1.0, 0.5857143, 1.0, 1.0, 0.046961326, 0.90677965, 0.0, 0.2979351, 0.013736264]	[1.0, 1.0, 0.5933333, 1.0, 1.0, 0.072463766, 0.8767123, 0.0, 0.33540374, 0.0]	[1.0, 1.0, 0.588, 1.0, 1.0, 0.054, 0.898, 0.0, 0.31, 0.01]	0.0017243773	9.71196e-05
390	0.68857145	0.6946667	0.6904	0.64657146	0.656	0.6494	[1.0, 1.0, 0.64857143, 1.0, 1.0, 0.24309392, 0.94350284, 0.30144927, 0.30973452, 0.052197803]	[1.0, 1.0, 0.64, 1.0, 1.0, 0.26811594, 0.9246575, 0.32258064, 0.26086956, 0.073529415]	[1.0, 1.0, 0.646, 1.0, 1.0, 0.25, 0.938, 0.308, 0.294, 0.058]	0.0017758226	0.00016462151
400	0.7377143	0.73466665	0.7368	0.682	0.68	0.6814	[1.0, 1.0, 0.43142858, 1.0, 1.0, 0.42265195, 0.96892655, 0.81449276, 0.11504425, 0.093406595]	[1.0, 1.0, 0.36666667, 1.0, 1.0, 0.442029, 0.9520548, 0.7419355, 0.08695652, 0.16176471]	[1.0, 1.0, 0.412, 1.0, 1.0, 0.428, 0.964, 0.792, 0.106, 0.112]	0.0019666553	0.00011743058
410	0.786	0.77066666	0.7814	0.75285715	0.76	0.755	[1.0, 1.0, 0.6, 1.0, 1.0, 0.7099447, 0.9322034, 0.9884058, 0.27138644, 0.052197803]	[1.0, 1.0, 0.58666664, 1.0, 1.0, 0.6884058, 0.9315069, 0.9677419, 0.25465837, 0.11764706]	[1.0, 1.0, 0.596, 1.0, 1.0, 0.704, 0.932, 0.982, 0.266, 0.07]	0.002056552	0.00019659789
420	0.7525714	0.75	0.7518	0.7442857	0.7506667	0.7462	[1.0, 1.0, 0.69142854, 1.0, 1.0, 0.6270718, 0.9830508, 0.60289854, 0.56047195, 0.010989011]	[1.0, 1.0, 0.68666667, 1.0, 1.0, 0.615942, 0.9794521, 0.59354836, 0.54658383, 0.007352941]	[1.0, 1.0, 0.69, 1.0, 1.0, 0.624, 0.982, 0.6, 0.556, 0.01]	0.002034272	0.00019736518
430	0.7408571	0.7273333	0.7368	0.68942857	0.696	0.6914	[1.0, 1.0, 0.56857145, 1.0, 1.0, 0.6546961, 0.9378531, 0.17391305, 0.5457227, 0.03846154]	[1.0, 1.0, 0.5133333, 1.0, 1.0, 0.65217394, 0.93835616, 0.21290323, 0.55279505, 0.029411765]	[1.0, 1.0, 0.552, 1.0, 1.0, 0.654, 0.938, 0.186, 0.548, 0.036]	0.0021741074	0.0002006162
440	0.7737143	0.76133335	0.77	0.7542857	0.746	0.7518	[1.0, 1.0, 0.47142857, 1.0, 1.0, 0.8480663, 0.9519774, 0.8057971, 0.41297936, 0.07417583]	[1.0, 1.0, 0.45333335, 1.0, 1.0, 0.8115942, 0.9315069, 0.716129, 0.4099379, 0.0882353]	[1.0, 1.0, 0.466, 1.0, 1.0, 0.838, 0.946, 0.778, 0.412, 0.078]	0.0022838209	0.00026106567
450	0.82	0.8093333	0.8168	0.7788572	0.78333336	0.7802	[1.0, 1.0, 0.45142856, 1.0, 1.0, 0.9751381, 0.9858757, 0.9942029, 0.2979351, 0.0989011]	[1.0, 1.0, 0.40666667, 1.0, 1.0, 0.9710145, 0.9794521, 0.9870968, 0.3043478, 0.15441176]	[1.0, 1.0, 0.438, 1.0, 1.0, 0.974, 0.984, 0.992, 0.3, 0.114]	0.0023893341	0.00019701477
460	0.8357143	0.824	0.8322	0.7731429	0.7686667	0.7718	[1.0, 1.0, 0.34285715, 1.0, 1.0, 0.9861878, 0.9830508, 1.0, 0.18879056, 0.23626374]	[1.0, 1.0, 0.28666666, 1.0, 1.0, 1.0, 0.9794521, 0.9935484, 0.16770187, 0.25]	[1.0, 1.0, 0.326, 1.0, 1.0, 0.99, 0.982, 0.998, 0.182, 0.24]	0.0025384147	0.00022562896
470	0.84885716	0.842	0.8468	0.77942854	0.77933335	0.7794	[1.0, 1.0, 0.29714286, 1.0, 1.0, 0.99723756, 0.9858757, 0.9971014, 0.539823, 0.0027472528]	[1.0, 1.0, 0.26, 1.0, 1.0, 1.0, 0.9726027, 0.9741936, 0.5279503, 0.0]	[1.0, 1.0, 0.286, 1.0, 1.0, 0.998, 0.982, 0.99, 0.536, 0.002]	0.0025377572	0.0002426242
480	0.802	0.792	0.799	0.73228574	0.7313333	0.732	[1.0, 1.0, 0.23428571, 1.0, 1.0, 0.9668508, 0.980226, 0.4695652, 0.6784661, 0.016483517]	[1.0, 1.0, 0.14666666, 1.0, 1.0, 0.9710145, 0.96575344, 0.47096774, 0.68944097, 0.014705882]	[1.0, 1.0, 0.208, 1.0, 1.0, 0.968, 0.976, 0.47, 0.682, 0.016]	0.002584828	0.00021920912
490	0.82685715	0.81	0.8218	0.7862857	0.78333336	0.7854	[1.0, 1.0, 0.35428572, 1.0, 1.0, 0.9944751, 0.9717514, 0.942029, 0.5339233, 0.08791209]	[1.0, 1.0, 0.30666667, 1.0, 1.0, 1.0, 0.9589041, 0.89032257, 0.55279505, 0.073529415]	[1.0, 1.0, 0.34, 1.0, 1.0, 0.996, 0.968, 0.926, 0.54, 0.084]	0.0027821437	0.00027140928
500	0.84885716	0.8426667	0.847	0.7897143	0.7953333	0.7914	[1.0, 1.0, 0.36285713, 1.0, 1.0, 1.0, 0.9915254, 1.0, 0.40707964, 0.1510989]	[1.0, 1.0, 0.33333334, 1.0, 1.0, 1.0, 0.98630136, 0.9935484, 0.45341614, 0.14705883]	[1.0, 1.0, 0.354, 1.0, 1.0, 1.0, 0.99, 0.998, 0.422, 0.15]	0.0028236583	0.0002523784
510	0.87285715	0.86466664	0.8704	0.78314286	0.7786667	0.7818	[1.0, 1.0, 0.117142856, 1.0, 1.0, 1.0, 0.9915254, 1.0, 0.24188791, 0.47802198]	[1.0, 1.0, 0.093333334, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.26708075, 0.43382353]	[1.0, 1.0, 0.11, 1.0, 1.0, 1.0, 0.992, 1.0, 0.25, 0.466]	0.003105674	0.00016283616
520	0.8748571	0.8666667	0.8724	0.7648571	0.77133334	0.7668	[1.0, 1.0, 0.18, 1.0, 1.0, 1.0, 0.980226, 1.0, 0.47492626, 0.035714287]	[1.0, 1.0, 0.14, 1.0, 1.0, 1.0, 0.9726027, 1.0, 0.5217391, 0.022058824]	[1.0, 1.0, 0.168, 1.0, 1.0, 1.0, 0.978, 1.0, 0.49, 0.032]	0.003139685	0.00027809595
530	0.8537143	0.8473333	0.8518	0.77	0.76533335	0.7686	[1.0, 1.0, 0.19142857, 1.0, 1.0, 1.0, 0.99717516, 0.8376812, 0.7020649, 0.0]	[1.0, 1.0, 0.12666667, 1.0, 1.0, 1.0, 0.9931507, 0.7870968, 0.6832298, 0.0]	[1.0, 1.0, 0.172, 1.0, 1.0, 1.0, 0.996, 0.822, 0.696, 0.0]	0.003153217	0.0002510196
540	0.85514283	0.84	0.8506	0.7788572	0.77066666	0.7764	[1.0, 1.0, 0.20285714, 1.0, 1.0, 1.0, 0.97740114, 0.9391304, 0.6460177, 0.04945055]	[1.0, 1.0, 0.14, 1.0, 1.0, 1.0, 0.9589041, 0.87741935, 0.63975155, 0.029411765]	[1.0, 1.0, 0.184, 1.0, 1.0, 1.0, 0.972, 0.92, 0.644, 0.044]	0.0033872854	0.00029057078
550	0.88	0.87	0.877	0.7885714	0.786	0.7878	[1.0, 1.0, 0.16571428, 1.0, 1.0, 1.0, 0.9830508, 1.0, 0.53097343, 0.22252747]	[1.0, 1.0, 0.10666667, 1.0, 1.0, 1.0, 0.98630136, 0.9935484, 0.55279505, 0.1764706]	[1.0, 1.0, 0.148, 1.0, 1.0, 1.0, 0.984, 0.998, 0.538, 0.21]	0.0034950124	0.00027972064
560	0.89028573	0.876	0.886	0.7814286	0.78466666	0.7824	[1.0, 1.0, 0.025714286, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.38053098, 0.41758242]	[1.0, 1.0, 0.02, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.4037267, 0.41911766]	[1.0, 1.0, 0.024, 1.0, 1.0, 1.0, 0.994, 1.0, 0.388, 0.418]	0.0037124734	0.00016596401
570	0.89028573	0.8746667	0.8856	0.772	0.77	0.7714	[1.0, 1.0, 0.06, 1.0, 1.0, 1.0, 0.9915254, 1.0, 0.41887906, 0.260989]	[1.0, 1.0, 0.02, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.4409938, 0.21323529]	[1.0, 1.0, 0.048, 1.0, 1.0, 1.0, 0.992, 1.0, 0.426, 0.248]	0.0038455864	0.0002421944
580	0.8905714	0.884	0.8886	0.77171427	0.77666664	0.7732	[1.0, 1.0, 0.105714284, 1.0, 1.0, 1.0, 0.99717516, 0.9971014, 0.6460177, 0.0]	[1.0, 1.0, 0.06666667, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.6459627, 0.0]	[1.0, 1.0, 0.094, 1.0, 1.0, 1.0, 0.996, 0.996, 0.646, 0.0]	0.0038718414	0.0002756333
590	0.888	0.87333333	0.8836	0.76714283	0.77	0.768	[1.0, 1.0, 0.074285716, 1.0, 1.0, 1.0, 0.99435025, 0.9188406, 0.71091443, 0.0027472528]	[1.0, 1.0, 0.06, 1.0, 1.0, 1.0, 0.9931507, 0.8516129, 0.72670805, 0.0]	[1.0, 1.0, 0.07, 1.0, 1.0, 1.0, 0.994, 0.898, 0.716, 0.002]	0.0040438836	0.0002829507
600	0.9077143	0.89	0.9024	0.76914287	0.77533334	0.771	[1.0, 1.0, 0.037142858, 1.0, 1.0, 1.0, 0.98870057, 1.0, 0.58112097, 0.10714286]	[1.0, 1.0, 0.02, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.60248446, 0.080882356]	[1.0, 1.0, 0.032, 1.0, 1.0, 1.0, 0.99, 1.0, 0.588, 0.1]	0.0042293286	0.000255686
610	0.8922857	0.87866664	0.8882	0.7577143	0.76533335	0.76	[1.0, 1.0, 0.06, 1.0, 1.0, 1.0, 1.0, 1.0, 0.47492626, 0.06318682]	[1.0, 1.0, 0.02, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.5217391, 0.066176474]	[1.0, 1.0, 0.048, 1.0, 1.0, 1.0, 0.998, 1.0, 0.49, 0.064]	0.0043093152	0.00022527436
620	0.9045714	0.88133335	0.8976	0.79	0.79866666	0.7926	[1.0, 1.0, 0.025714286, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.4159292, 0.4642857]	[1.0, 1.0, 0.013333334, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.46583852, 0.50735295]	[1.0, 1.0, 0.022, 1.0, 1.0, 1.0, 0.996, 1.0, 0.432, 0.476]	0.0045279693	0.0002076847
630	0.9045714	0.89533335	0.9018	0.75942856	0.76933336	0.7624	[1.0, 1.0, 0.011428571, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.6135693, 0.0]	[1.0, 1.0, 0.006666667, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.6335404, 0.0]	[1.0, 1.0, 0.01, 1.0, 1.0, 1.0, 0.996, 0.998, 0.62, 0.0]	0.0045606084	0.00024968665
640	0.90114284	0.898	0.9002	0.76771426	0.76933336	0.7682	[1.0, 1.0, 0.042857144, 1.0, 1.0, 1.0, 0.99717516, 0.9217391, 0.7463127, 0.0]	[1.0, 1.0, 0.026666667, 1.0, 1.0, 1.0, 0.9931507, 0.87741935, 0.72670805, 0.0]	[1.0, 1.0, 0.038, 1.0, 1.0, 1.0, 0.996, 0.908, 0.74, 0.0]	0.0046604853	0.00028783083
650	0.90885717	0.9073333	0.9084	0.77171427	0.7786667	0.7738	[1.0, 1.0, 0.042857144, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.6578171, 0.04945055]	[1.0, 1.0, 0.046666667, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.65217394, 0.036764707]	[1.0, 1.0, 0.044, 1.0, 1.0, 1.0, 0.994, 0.998, 0.656, 0.046]	0.0049624536	0.00028755493
660	0.9085714	0.892	0.9036	0.76285714	0.77066666	0.7652	[1.0, 1.0, 0.014285714, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5457227, 0.09065934]	[1.0, 1.0, 0.013333334, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.57763976, 0.066176474]	[1.0, 1.0, 0.014, 1.0, 1.0, 1.0, 0.998, 1.0, 0.556, 0.084]	0.005012327	0.00024946174
670	0.91	0.89266664	0.9048	0.76771426	0.77066666	0.7686	[1.0, 1.0, 0.0028571428, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.46312684, 0.23076923]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.51552796, 0.15441176]	[1.0, 1.0, 0.002, 1.0, 1.0, 1.0, 0.994, 1.0, 0.48, 0.21]	0.00517271	0.00015601539
680	0.91314286	0.9	0.9092	0.7548571	0.7646667	0.7578	[1.0, 1.0, 0.008571428, 1.0, 1.0, 1.0, 0.99435025, 1.0, 0.5722714, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.59006214, 0.0]	[1.0, 1.0, 0.006, 1.0, 1.0, 1.0, 0.994, 1.0, 0.578, 0.0]	0.0052887965	0.00020830706
690	0.912	0.9113333	0.9118	0.7702857	0.77533334	0.7718	[1.0, 1.0, 0.034285713, 1.0, 1.0, 1.0, 1.0, 0.9971014, 0.7020649, 0.0]	[1.0, 1.0, 0.013333334, 1.0, 1.0, 1.0, 0.9931507, 0.9741936, 0.70186335, 0.0]	[1.0, 1.0, 0.028, 1.0, 1.0, 1.0, 0.998, 0.99, 0.702, 0.0]	0.0053781187	0.00028472766
700	0.91657144	0.9166667	0.9166	0.77085716	0.7786667	0.7732	[1.0, 1.0, 0.037142858, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.6932153, 0.010989011]	[1.0, 1.0, 0.02, 1.0, 1.0, 1.0, 0.9931507, 0.9870968, 0.70186335, 0.014705882]	[1.0, 1.0, 0.032, 1.0, 1.0, 1.0, 0.996, 0.996, 0.696, 0.012]	0.005642863	0.00029789726
710	0.92314285	0.9113333	0.9196	0.76	0.7673333	0.7622	[1.0, 1.0, 0.0028571428, 1.0, 1.0, 1.0, 0.9915254, 1.0, 0.59292036, 0.03846154]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.5962733, 0.022058824]	[1.0, 1.0, 0.002, 1.0, 1.0, 1.0, 0.992, 1.0, 0.594, 0.034]	0.0057357782	0.00021257228
720	0.9122857	0.8946667	0.907	0.7505714	0.76133335	0.7538	[1.0, 1.0, 0.0028571428, 1.0, 1.0, 1.0, 1.0, 1.0, 0.51917404, 0.008241759]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.5590062, 0.0]	[1.0, 1.0, 0.002, 1.0, 1.0, 1.0, 0.998, 1.0, 0.532, 0.006]	0.0057744076	0.00018344144
730	0.91914284	0.904	0.9146	0.7617143	0.764	0.7624	[1.0, 1.0, 0.0028571428, 1.0, 1.0, 1.0, 0.99717516, 1.0, 0.5545723, 0.08516484]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.5714286, 0.014705882]	[1.0, 1.0, 0.002, 1.0, 1.0, 1.0, 0.996, 1.0, 0.56, 0.066]	0.0059584603	0.0002038742
740	0.92314285	0.92	0.9222	0.76685715	0.774	0.769	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.69911504, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.6832298, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 0.998, 0.694, 0.0]	0.0060422076	0.00023224158
750	0.932	0.928	0.9308	0.772	0.7786667	0.774	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.7640118, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 0.9612903, 0.757764, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.996, 0.982, 0.762, 0.0]	0.0062493132	0.00026808004
760	0.93057144	0.92466664	0.9288	0.7697143	0.77466667	0.7712	[1.0, 1.0, 0.0028571428, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6666667, 0.054945055]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.65217394, 0.036764707]	[1.0, 1.0, 0.002, 1.0, 1.0, 1.0, 0.998, 1.0, 0.662, 0.05]	0.006478508	0.00023550447
770	0.92314285	0.912	0.9198	0.7591429	0.76666665	0.7614	[1.0, 1.0, 0.0028571428, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6106195, 0.0054945056]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.6086956, 0.0]	[1.0, 1.0, 0.002, 1.0, 1.0, 1.0, 0.998, 1.0, 0.61, 0.004]	0.0064513125	0.00022154255
780	0.9234286	0.90933335	0.9192	0.76542854	0.77066666	0.767	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5427729, 0.13186814]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.57763976, 0.080882356]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.554, 0.118]	0.0066380436	0.0002040111
790	0.93114287	0.926	0.9296	0.7662857	0.774	0.7686	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6932153, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 1.0, 0.67701864, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 1.0, 0.688, 0.0]	0.0067234244	0.0001672164
800	0.94028574	0.936	0.939	0.7737143	0.782	0.7762	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.9942029, 0.7758112, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 0.9806452, 0.77018636, 0.0]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.998, 0.99, 0.774, 0.0]	0.0068873316	0.0003051099
810	0.93885714	0.93333334	0.9372	0.7745714	0.78066665	0.7764	[1.0, 1.0, 0.0028571428, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7138643, 0.057692308]	[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.6956522, 0.05882353]	[1.0, 1.0, 0.002, 1.0, 1.0, 1.0, 0.998, 0.998, 0.708, 0.058]	0.007134487	0.00029058522
