idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
2830	0.99485713	0.98466665	0.9918	0.98057145	0.9773333	0.9796	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9321534, 0.88736266]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9006211, 0.86764705]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.922, 0.882]	0.8669586	0.023410618
2840	0.9965714	0.9773333	0.9908	0.97657144	0.97866666	0.9772	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.8927536, 0.9734513, 0.9065934]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9419355, 0.9627329, 0.875]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.908, 0.97, 0.898]	0.816061	0.016121626
2850	0.9994286	0.98466665	0.995	0.9794286	0.97866666	0.9792	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.93333334, 0.95280236, 0.91483516]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9677419, 0.93167704, 0.88235295]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.944, 0.946, 0.906]	0.93091583	0.019201934
2860	0.9974286	0.98866665	0.9948	0.9811429	0.9766667	0.9798	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.98550725, 0.94100296, 0.89285713]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.89440995, 0.875]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.99, 0.926, 0.888]	0.8695183	0.027086258
2870	0.9937143	0.98466665	0.991	0.9837143	0.982	0.9832	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9734513, 0.8791209]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9627329, 0.85294116]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.996, 0.97, 0.872]	0.8684311	0.018125057
2880	0.99885714	0.9853333	0.9948	0.98	0.9766667	0.979	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.942029, 0.94100296, 0.9230769]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9741936, 0.9068323, 0.8897059]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.952, 0.93, 0.914]	0.87117386	0.024936259
2890	0.9991429	0.9813333	0.9938	0.97885716	0.9766667	0.9782	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.915942, 0.96460176, 0.91483516]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9931507, 0.9677419, 0.9254658, 0.875]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.996, 0.932, 0.952, 0.904]	0.86314774	0.015286565
2900	0.99628574	0.986	0.9932	0.9817143	0.97866666	0.9808	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9884058, 0.9439528, 0.89285713]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9130435, 0.86764705]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.992, 0.934, 0.886]	0.8525982	0.01812923
2910	0.9974286	0.98733336	0.9944	0.98285717	0.98066664	0.9822	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.97971016, 0.9557522, 0.9010989]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.93167704, 0.86764705]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.986, 0.948, 0.892]	0.8310108	0.019565165
2920	0.998	0.986	0.9944	0.97885716	0.97066665	0.9764	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.95072466, 0.920354, 0.9230769]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 0.9806452, 0.8385093, 0.89705884]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.96, 0.894, 0.916]	0.83764267	0.029877841
2930	0.9951429	0.98733336	0.9928	0.9785714	0.96466666	0.9744	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9026549, 0.89285713]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7763975, 0.875]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.998, 0.996, 0.862, 0.888]	0.91565895	0.029121459
2940	0.9965714	0.98466665	0.993	0.984	0.9813333	0.9832	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9826087, 0.9705015, 0.8956044]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 0.9931507, 0.9935484, 0.9503106, 0.875]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.996, 0.986, 0.964, 0.89]	0.81974983	0.019223452
2950	0.99114287	0.98333335	0.9888	0.97742856	0.9726667	0.976	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9942029, 0.9262537, 0.86263734]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8819876, 0.8382353]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.996, 0.912, 0.856]	0.72667694	0.02369231
2960	0.9965714	0.986	0.9934	0.9834286	0.9826667	0.9832	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.9884058, 0.96460176, 0.8901099]	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9503106, 0.86764705]	[1.0, 1.0, 0.998, 1.0, 1.0, 1.0, 0.998, 0.992, 0.96, 0.884]	0.88142776	0.01722318
2970	0.99457145	0.98466665	0.9916	0.9842857	0.98333335	0.984	[1.0, 1.0, 0.99714285, 1.0, 1.0, 1.0, 0.99717516, 0.99130434, 0.97935104, 0.8818681]	[1.0, 1.0, 0.99333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9751553, 0.85294116]	[1.0, 1.0, 0.996, 1.0, 1.0, 1.0, 0.998, 0.994, 0.978, 0.874]	0.9165497	0.014881432
